feature,importance
userId,0.27298835712383596
returnValue,0.18447447369356904
processName,0.15018922098467793
threadId,0.09340646093437457
args,0.09162189746168688
parentProcessId,0.09043915141133918
timestamp,0.04530381410402556
processId,0.03616792447227711
hostName,0.03192392342512392
eventName,0.0022064675196966227
eventId,0.000623598417040543
argsNum,0.0004964882002890064
stackAddresses,0.00010081170068313296
mountNamespace,5.741055138050109e-05
